               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1787,              5.8309,              4.9213,            0.025669,            0.037088,           0.0053381,           0.0015209,                   0,                   0,                   0,            0.070015,           0.0033316,           0.0033316
                   1,              3.9442,              4.5573,              4.4998,             0.02932,             0.22321,            0.051715,            0.013944,                   0,                   0,                   0,            0.039883,            0.006533,            0.006533
                   2,              3.0894,               3.698,              3.5927,            0.046234,             0.35577,             0.03938,            0.015876,                   0,                   0,                   0,           0.0096193,           0.0096024,           0.0096024
                   3,              2.6433,              3.0053,              3.0262,             0.71112,             0.58328,             0.64859,             0.35663,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              2.4189,              2.5535,              2.8262,             0.74541,             0.61126,             0.67394,             0.36421,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              2.2747,               2.383,              2.6774,             0.74955,             0.64286,             0.70509,             0.39903,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              2.2185,              2.2294,              2.6103,             0.79798,              0.6891,             0.75671,             0.43798,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              2.1949,              2.1476,              2.5621,             0.81653,              0.7397,             0.79091,             0.45272,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              2.1013,              2.0103,               2.484,             0.81998,             0.71329,             0.76556,             0.44751,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              2.1261,              1.9714,              2.5114,             0.88117,             0.73695,             0.81322,             0.47977,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              2.0442,              1.9517,              2.4412,             0.86082,              0.7604,             0.82033,             0.48419,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              2.0717,              1.9153,              2.4525,             0.83951,             0.78091,             0.82102,              0.4932,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              2.0282,              1.9086,              2.4208,             0.85669,             0.78005,              0.8334,             0.50112,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
